着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
6,4,6,マイロングタイム,牡3,56,村田,02:28.6,1月2日,12,259.5,35.4,4-6-6-5,美浦藤原辰,450(-2)
7,6,11,ミスヒアリング,牝3,54,丸山,02:28.7,3月4日,10,55.4,35.5,2-2-4-5,美浦根本,514(+28)
8,4,7,ハーツシンフォニー,牡3,56,柴田善,02:29.1,2.1/2,2,5.2,35.5,10-11-11-10,美浦戸田,478(-2)
9,8,14,ケイアイタカプナ,牡3,56,大野,02:29.1,ハナ,9,45.5,36.2,6-4-3-2,美浦田村,462(0)
10,5,8,ハラハラドキドキ,牡3,55,☆野中,02:29.1,クビ,11,74.1,35.4,7-10-10-10,美浦久保田,452(0)
11,8,15,コスモタイシ,牡3,56,ミナリ,02:29.3,1.1/2,7,31.8,36.4,1-1-1-1,美浦高橋祥,468(+10)
12,3,5,ベリンダアン,牝3,54,Ｍデム,02:30.5,7,5,8.9,36.5,14-14-13-13,美浦大竹,420(-6)
13,7,13,スカッターガン,牡3,56,井上,02:31.2,4,14,402.9,37.8,7-8-8-7,美浦和田郎,526(0)
1,8,16,アポロチーター,牡4,57,木幡巧,01:19.6,,3,6.2,36.9,3月3日,美浦岩戸,530(0)
2,3,6,タイキメサイア,牡5,57,丸山,01:19.7,3月4日,4,7.4,36.9,7月4日,美浦高橋祥,514(0)
3,4,8,カーリングストーン,牡4,56,☆菊沢,01:19.8,1月2日,12,48.9,36.3,7月8日,美浦菊沢,470(+6)
4,5,9,バットオールソー,牡5,57,石橋脩,01:20.1,2,10,31.4,36.2,12月14日,美浦大和田,476(+8)
5,6,11,デルマカミカゼ,牡5,57,横山和,01:20.2,クビ,6,15.3,37,9月7日,美浦小野,466(+8)
6,7,13,フレンドアリス,牝5,55,柴田善,01:20.4,1,9,28.1,37.5,5月4日,美浦南田,464(0)
7,4,7,スポーカンテソーロ,牝4,55,江田照,01:20.4,クビ,7,18.1,36.9,9月8日,美浦加藤士,514(-12)
8,3,5,スパーダ,牡5,57,武藤,01:20.6,1.1/4,1,2.4,37.7,3月4日,美浦加藤士,496(-4)
9,8,15,ワールドイズマイン,牝4,55,Ｍデム,01:20.7,クビ,2,5.4,38.3,2月2日,美浦金成,458(+4)
10,1,1,ヤマニンシーベリー,牝6,54,☆野中,01:20.7,アタマ,15,215.2,36.9,11月12日,美浦黒岩,458(+2)
11,2,4,ガチコ,牝6,55,ミナリ,01:20.8,1月2日,5,15.2,36.7,16-15,美浦高橋文,482(+8)
12,6,12,バルトフォンテン,牡5,57,石川,01:21.4,3.1/2,11,34.8,37.8,11月10日,美浦高橋裕,516(+10)
13,2,3,ディアバビアナ,牝5,55,吉田豊,01:21.6,1.1/4,14,126.5,37.8,12月13日,美浦高橋裕,502(+26)
14,1,2,ゴールドタンバリン,牝5,53,△木幡育,01:21.9,1.3/4,13,81.8,37.8,14-15,美浦池上,428(-2)
15,7,14,ミユキメガバックス,牡4,57,内田博,01:22.0,3月4日,8,24.7,39.6,1月1日,美浦清水英,548(+1)
16,5,10,クリノジョヴァンナ,牝5,55,宮崎,01:27.8,大,16,364.9,44.2,5月10日,美浦蛯名,462(+6)
1,6,11,ゴールドフレーム,セ4,57,大野,01:38.5,,7,10.9,36.3,3月3日,美浦新開,478(0)
2,3,4,パイロテクニクス,セ4,57,ルメー,01:38.8,2,2,4.6,36.2,5月6日,美浦武藤,512(+8)
3,5,9,ロジギムレット,牡4,57,丸山,01:39.0,1,6,10.8,36.7,4月4日,美浦国枝,474(+16)
4,6,10,ライトカラカゼ,牡5,57,石川,01:39.2,1.1/4,4,5.7,36.5,5月6日,美浦相沢,474(-4)
5,8,15,オープンザウェイ,セ8,57,木幡巧,01:39.4,1,13,167.6,36.2,11月11日,美浦菊川,472(+4)
6,4,7,ヨクエロマンボ,セ7,57,横山典,01:39.4,クビ,3,5.6,36.1,11月13日,美浦藤原辰,468(0)
7,1,1,ドーファン,セ5,57,吉田豊,01:39.5,1月2日,8,38.6,36,12月13日,美浦中川,532(+12)
8,2,2,ブルーエクセレンス,牡4,57,津村,01:39.5,アタマ,1,3.9,37.1,5月4日,美浦金成,482(0)
9,8,14,デストロイ,牡6,57,Ｍデム,01:39.6,1月2日,5,6.6,36.6,9月9日,美浦高橋裕,524(+8)
10,5,8,アールグランツ,牡4,57,武藤,01:39.9,2,10,62.9,38,2月2日,美浦鈴木伸,476(+2)
11,3,5,クリスエステソーロ,牡5,57,江田照,01:40.0,3月4日,11,69.4,38.2,1月1日,美浦加藤士,512(0)
12,4,6,ヤサカリベルテ,牡4,57,柴田善,01:40.8,5,14,267.6,37.9,9月9日,美浦水野,464(+10)
13,2,3,サンマルライバル,牡6,57,嘉藤,01:41.0,1.1/4,15,374.3,38.3,8月6日,美浦佐藤,482(+10)
14,7,13,ジョイナイト,牡4,56,☆菊沢,01:45.7,大,12,113.7,40.9,15-15,美浦武市,502(+6)
15,7,12,ジェイエルノブレス,牝5,55,田辺,01:45.9,1.1/2,9,39.5,42.3,13-14,美浦小西,464(+2)
1,5,10,ビッククインバイオ,牝3,54,大野,01:21.7,,2,4.6,34.2,3月3日,美浦牧,476(-2)
2,3,6,クリノプレミアム,牝3,54,丸山,01:21.8,1月2日,4,7.7,34.1,5月6日,美浦伊藤伸,454(-8)
3,8,16,バトルカグヤ,牝3,54,津村,01:22.1,2,10,34.1,35.2,1月1日,栗東本田,452(0)
4,4,8,ダイワクンナナ,牝3,54,北村宏,01:22.2,クビ,5,8.7,34.5,7月6日,美浦国枝,486(-8)
5,6,11,シベール,牝3,54,Ｍデム,01:22.2,クビ,1,4.1,34.4,10月8日,美浦久保田,450(-4)
6,1,2,フィオリキアリ,牝3,54,宮崎,01:22.2,アタマ,7,13.8,34.2,7月10日,栗東清水久,432(-2)
7,5,9,コミカライズ,牝3,54,横山典,01:22.5,2,3,5.6,34.7,9月8日,美浦和田勇,454(0)
8,2,4,スウィートメリナ,牝3,54,田辺,01:22.6,クビ,9,22.8,34.6,10月10日,美浦菊川,424(0)
9,8,15,エレガンテレイナ,牝3,54,武藤,01:22.6,ハナ,11,38.2,34.3,14-13,美浦高柳瑞,432(0)
10,6,12,ビオグラフィー,牝3,54,ミナリ,01:22.6,アタマ,8,19.5,35.1,3月3日,栗東藤岡,464(+2)
11,1,1,クイックレス,牝3,54,石川,01:22.7,1月2日,15,150.5,34.4,10月13日,美浦中舘,444(+4)
12,3,5,セイラブミー,牝3,54,内田博,01:22.7,ハナ,16,350.6,34.4,14-13,美浦伊藤大,438(-6)
13,4,7,スリリングドリーム,牝3,54,Ｃ．ル,01:23.1,2.1/2,6,9,35,10月10日,美浦小野,446(+2)
14,7,13,ハニーリン,牝3,54,吉田豊,01:23.3,1.1/4,12,62.1,35.7,5月5日,美浦堀井,466(-2)
15,2,3,メイプルプレゼント,牝3,54,森裕,01:23.3,クビ,13,92.1,34.7,14-16,美浦高市,446(+2)
16,7,14,フィドル,牝3,54,横山和,01:24.4,7,14,148.7,37.1,2月2日,美浦高市,422(-8)
1,1,1,サトノラディウス,牡4,56,ルメー,02:25.5,,1,1.4,34.6,4-5-8-9,美浦国枝,490(+6)
2,5,5,パルティアーモ,牝4,52,津村,02:25.6,3月4日,2,8.7,35.1,6-5-2-2,美浦池上,494(+20)
3,2,2,クリノオスマン,セ6,54,Ｍ．デ,02:26.0,2.1/2,4,12.7,35.3,2-2-4-5,美浦伊藤伸,456(0)
4,8,11,カーロバンビーナ,牝5,54,石橋脩,02:26.1,1月2日,9,36.5,35.3,9-9-9-7,美浦戸田,412(0)
5,7,8,タンタフエルサ,牡5,55,田辺,02:26.1,クビ,8,26.8,35,10-10-10-10,美浦国枝,450(-6)
6,6,7,レッドボヌール,牝6,53,田中勝,02:26.3,1.1/4,5,16.3,35.2,10-10-10-10,美浦宗像,432(+2)
7,4,4,ヴァンクールシルク,セ6,55,丸山,02:27.2,5,7,24.5,36.4,7-7-7-7,美浦木村,576(+2)
8,8,10,コスモジャーベ,牡7,54,武藤,02:27.4,1.1/4,11,50.9,36.9,7-7-2-2,美浦和田雄,492(0)
9,7,9,アランブレラ,牡5,55,北村宏,02:27.6,1.1/4,3,10.4,37,4-4-4-4,美浦尾関,556(+16)
10,6,6,ヴィエナブロー,牝4,52,野中,02:27.9,1.3/4,6,19,37.5,1-1-1-1,美浦林,454(+2)
11,3,3,エスティーム,牡6,55,内田博,02:28.5,3.1/2,10,46,37.8,2-2-4-5,美浦高橋祥,524(-2)
1,3,5,ウーリリ,牡4,57,津村,01:33.5,,4,7.6,34.1,3月2日,栗東友道,500(-6)
2,8,16,ルーカス,牡5,57,Ｍデム,01:33.5,ハナ,5,8.2,34.1,3月2日,美浦堀,514(+2)
3,7,13,ヴィッテルスバッハ,牡4,57,石橋脩,01:33.6,1月2日,3,7.3,33.7,12月10日,美浦池上,474(+10)
4,1,2,トーセンブレス,牝5,55,大野,01:33.6,アタマ,6,15.4,33.6,10月12日,美浦加藤征,472(+4)
5,1,1,アントリューズ,牡4,57,田辺,01:33.7,3月4日,2,3.3,33.4,13-13,美浦栗田,500(+4)
6,5,10,ボーダーオブライフ,牡6,57,伊藤,01:33.8,1月2日,12,135.8,34.3,5月5日,美浦金成,498(0)
7,4,8,ドルチャーリオ,牡7,57,田中勝,01:33.8,ハナ,14,205.5,34.2,6月6日,栗東池添兼,446(-14)
8,2,3,スイープセレリタス,牝4,55,ルメー,01:34.0,1.1/4,1,2.8,34.2,6月7日,美浦藤沢和,504(+12)
9,8,15,トーラスジェミニ,牡4,57,木幡育,01:34.0,クビ,10,78.9,34.8,1月1日,美浦小桧山,490(+2)
10,2,4,オールザゴー,牡6,57,丸山,01:34.0,ハナ,9,49.2,34.3,6月7日,栗東矢作,506(-2)
11,6,11,レノーア,牝4,55,石川,01:34.0,アタマ,7,24.5,34.7,2月2日,美浦相沢,418(+2)
12,7,14,スモークフリー,牡8,57,武藤,01:34.1,1月2日,16,483.8,33.6,16-16,美浦戸田,538(-4)
13,6,12,リカビトス,牝6,55,北村宏,01:34.2,クビ,8,29.1,34,13-13,美浦奥村武,444(+12)
14,4,7,エクレアスパークル,牡6,57,内田博,01:34.4,1.1/4,13,157.5,34.2,13-13,美浦大和田,468(+2)
15,5,9,チャンピオンルパン,牡9,57,横山和,01:34.6,1.1/4,11,82.6,34.9,9月7日,美浦勢司,510(-4)
16,3,6,ルグランパントル,セ8,57,野中,01:35.0,2.1/2,15,465.8,35.1,10月10日,美浦稲垣,480(-10)
1,1,1,サンチェサピーク,牡6,57,Ｍデム,01:37.1,,4,7.7,37.1,4月4日,美浦加藤征,528(+2)
2,8,15,セイヴァリアント,牡4,57,吉田豊,01:37.3,1.1/4,1,4,36.6,13-13,美浦中川,498(+2)
3,3,4,テイエムグッドマン,牡6,57,横山典,01:37.3,アタマ,9,21.9,37.2,7月6日,栗東武英,498(+16)
4,2,3,エンドーツダ,牝4,55,岩部,01:37.3,アタマ,8,17.8,36.4,14-14,美浦萱野,450(-4)
5,5,8,シャドウセッション,牡4,57,ミナリ,01:37.3,ハナ,2,4.3,36.7,11月11日,美浦鹿戸,522(-2)
6,7,12,トーセンヴィータ,牡5,57,武藤,01:38.1,5,5,15.8,38.4,2月2日,美浦古賀慎,540(+2)
7,7,13,キタサンタイドー,牡5,57,田中勝,01:38.1,アタマ,7,17.2,37.7,8月9日,栗東清水久,514(+4)
8,6,11,イッツリット,牡4,57,田辺,01:38.1,クビ,11,35.8,38.4,2月2日,美浦和田郎,496(+16)
9,3,5,スパイスマジック,セ5,57,大野,01:38.2,1月2日,10,23.3,38,8月6日,美浦杉浦,488(+18)
10,6,10,オンザウェイ,牡4,57,津村,01:38.3,3月4日,14,69.5,37.8,11月11日,美浦大和田,528(0)
11,8,14,リープリングスター,セ4,57,ルメー,01:38.4,クビ,3,4.7,38,8月9日,美浦木村,554(+14)
12,2,2,サニークラウド,牡4,57,石橋脩,01:38.7,2,12,36,37.7,15-15,美浦牧,496(+4)
13,4,7,グランサム,セ5,57,北村宏,01:38.9,1,13,42.7,38.8,6月6日,美浦古賀慎,470(+6)
14,5,9,アポロマーキュリー,牝6,55,丸山,01:39.3,2.1/2,15,75.7,39.4,4月4日,美浦鈴木伸,470(-8)
15,4,6,スズカアーチスト,牝5,53,△木幡育,01:39.4,クビ,6,16.2,39.8,1月1日,美浦伊藤圭,470(-4)
1,7,14,ペルシャンジュエル,牝3,54,Ｍデム,01:26.9,,2,3.2,37.1,10月7日,美浦金成,436(-4)
2,5,9,セルフィー,牝3,54,ルメー,01:27.0,3月4日,1,2.1,37.7,3月3日,美浦藤沢和,454(-6)
3,4,7,トリッチトラッチ,牝3,54,田辺,01:27.3,1.3/4,3,5.8,37.3,11月13日,美浦伊藤圭,420(-6)
4,1,1,ユールファーナ,牝3,54,丸山,01:27.8,3,5,18,38.1,7月7日,美浦和田勇,416(-6)
5,6,12,クロキシ,牝3,54,木幡巧,01:28.0,1,15,359.8,37.7,13-14,美浦和田雄,406(0)
6,3,6,モノポリーアイズ,牝3,54,横山典,01:28.2,1.1/4,4,12.5,38.4,7月7日,美浦武井,440(+6)
7,8,16,パーティネント,牝3,54,津村,01:28.4,1.1/4,6,22.2,38.9,4月4日,美浦岩戸,470(+6)
8,3,5,ジニアテソーロ,牝3,54,武藤,01:28.7,1.3/4,12,91.2,40,1月1日,美浦奥平,462(+10)
9,1,2,カンタベリーアロマ,牝3,54,武士沢,01:28.7,アタマ,14,178.6,38.7,10月11日,美浦星野,426(-2)
10,2,3,タイセイプルミエ,牝3,54,Ｆ．ミ,01:28.7,ハナ,8,38.6,38.4,13-14,美浦青木,464(-6)
11,4,8,ラッキービープラン,牝3,54,伊藤,01:28.7,クビ,9,56.9,38.9,7月7日,美浦宗像,474(0)
12,6,11,ヴィエリチカ,牝3,54,石川,01:28.8,クビ,10,69.9,38.8,10月11日,美浦相沢,442(-10)
13,2,4,カスミ,牝3,53,☆菊沢,01:29.2,2.1/2,11,70.7,39.8,4月4日,美浦松山,466(-6)
14,7,13,ハヤブサピアーノ,牝3,54,大野,01:30.4,7,7,27.5,40.9,4月4日,美浦高柳瑞,460(+2)
15,5,10,ララスカート,牝3,54,内田博,01:30.8,2.1/2,16,683.7,39.1,16-16,美浦田中剛,414(-6)
16,8,15,ナックローズ,牝3,52,△木幡育,01:31.4,4,13,170,42.3,2月2日,美浦杉浦,416(+6)
1,2,3,トラモント,牡3,56,ミナリ,02:15.0,,1,2.4,36.6,15-11-11-8,美浦新開,502(-16)
2,5,9,レオファイナリスト,牡3,56,木幡巧,02:15.3,2,4,8.1,37.6,5-5-4-4,美浦牧,476(-4)
3,3,4,ロドルフォブレイン,牡3,56,石橋脩,02:15.8,3,5,8.3,38.3,9-8-2-2,美浦尾関,530(-10)
4,8,14,トーセンワンダー,牡3,56,吉田豊,02:16.1,2,2,4.1,38.5,7-8-4-3,美浦古賀史,512(+8)
5,7,12,キークラウン,牡3,55,☆野中,02:16.4,1.3/4,6,11.4,38.2,11-10-9-6,美浦黒岩,494(-4)
6,6,11,ハイテイブルース,牡3,54,△木幡育,02:16.4,アタマ,8,41.3,37.3,10-11-11-12,美浦田島,476(+2)
7,2,2,マルターズデセオ,牡3,56,武藤,02:17.6,7,7,17.5,39.1,7-6-7-8,美浦手塚,484(-2)
8,6,10,アルコンシチー,牡3,56,石川,02:17.7,1月2日,10,45.7,39.9,3-3-2-4,美浦相沢,460(0)
9,3,5,カラヤン,牡3,56,武士沢,02:17.8,クビ,9,43.1,39.1,11-14-13-10,美浦小桧山,476(-8)
10,7,13,セイリングバリュー,牝3,54,津村,02:17.9,1月2日,3,7.6,40.5,1-2-1-1,美浦鈴木伸,502(-2)
11,4,7,サバイバルボス,牡3,56,井上,02:18.0,3月4日,12,169.8,39.7,3-3-4-7,美浦和田雄,494(-12)
